Split 1,Split 2,Cohort Date,First Deposit C,First Deposit S,Deposit APPC,First Deposit 2 Deposit Conversion,24h First Deposit 2 Deposit Conversion,7D First Deposit 2 Deposit Conversion,1D Deposit S,1D Deposit C,3D Deposit S,7D Deposit S,7D Deposit C,14D Deposit S,14D Deposit C,30D Deposit C,28D Deposit S,Marketing Spend,1D CNGR,3D CNGR,7D CNGR,14D CNGR,28D CNGR,Mono Instant Depositor Share,Registration C,Split 3
Dephouse,Australia,2025-12-16,1,37,1.0,0.0,0.0,0.0,37,1,37,37,1,37,1,1,37,200.0,28,28,28,28,28,0.0,3,14274
Dephouse,Australia,2025-12-17,1,42,2.0,100.0,100.0,100.0,69,2,69,69,2,69,2,2,69,200.0,59,59,61,61,61,0.0,7,14274
Dephouse,Australia,2025-12-20,1,33,1.0,0.0,0.0,0.0,33,1,33,33,1,33,1,1,33,200.0,36,36,36,36,36,0.0,2,14274
DiceRollers,France,2025-07-30,1,50,1.0,0.0,0.0,0.0,50,1,50,50,1,50,1,1,50,83.0,40,40,40,40,40,100.0,6,EDRg_1
DiceRollers,France,2025-08-02,1,20,2.0,100.0,100.0,100.0,40,2,40,40,2,40,2,2,40,67.0,-423,-111,-111,58,58,0.0,1,EDRg_1
DiceRollers_SLOT,Spain,2025-07-30,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,180.0,16,-18,18,18,18,0.0,1,Default
DiceRollers_SLOT,Czech Republic,2025-08-16,1,20,22.0,100.0,100.0,100.0,61,3,61,61,3,61,3,3,61,116.0,50,49,49,49,49,0.0,1,EDR
DiceRollers_SLOT,Italy,2025-08-06,1,48,4.0,100.0,0.0,100.0,48,1,48,78,2,108,3,4,138,166.0,37,37,23,86,108,0.0,3,EDR
EKB_inapp_C,Czech Republic,2025-12-12,4,82,1.0,0.0,0.0,0.0,82,4,82,82,4,82,4,4,82,400.0,37,62,65,65,65,50.0,33,7101
EKB_inapp_C,Czech Republic,2025-12-15,2,72,3.0,50.0,50.0,50.0,257,6,257,257,6,257,6,6,257,200.0,219,219,219,219,219,50.0,4,7101
EKB_inapp_C,Czech Republic,2025-12-16,1,21,1.0,0.0,0.0,0.0,21,1,21,21,1,21,1,1,21,100.0,13,15,15,15,15,0.0,5,7101
EKB_inapp_C,Czech Republic,2025-12-17,3,123,1.67,33.33,0.0,33.33,164,5,164,164,5,164,5,5,164,300.0,141,122,118,139,139,0.0,26,7101
EKB_inapp_C,Czech Republic,2025-12-18,1,20,1.0,0.0,0.0,0.0,20,1,20,20,1,20,1,1,20,100.0,19,18,18,18,18,0.0,8,7101
EKB_inapp_C,Italy,2025-12-11,1,20,4.0,100.0,0.0,100.0,20,1,20,90,4,90,4,4,90,130.0,-328,-328,-266,-266,-266,100.0,18,7103
